Level,TotalBalls,Targets,Speed,Correct,Wrong,Accuracy,TAR_Median,ResponseTime(s)
1,6,2,1.50,2,0,1.00,0.79,5.49
2,7,3,1.50,3,0,1.00,0.84,5.96
3,8,4,1.50,4,0,1.00,0.64,6.70
4,8,4,1.80,4,0,1.00,0.74,6.94
5,8,4,2.10,4,0,1.00,0.83,6.70
6,8,4,2.40,4,0,1.00,0.62,6.53
7,8,4,2.70,4,0,1.00,0.71,6.79
8,8,4,3.00,4,0,1.00,0.65,6.40
