Level,TotalBalls,Targets,Speed,Correct,Wrong,Accuracy,TAR_Median,ResponseTime(s)
1,6,2,2.50,2,0,1.00,0.61,6.80
2,7,3,2.50,3,0,1.00,0.47,6.59
3,8,4,2.50,4,0,1.00,0.58,7.05
4,8,4,2.80,4,0,1.00,0.32,8.28
5,8,4,3.10,4,0,1.00,0.40,7.12
6,9,5,2.60,4,1,0.80,0.56,7.75
7,9,5,2.70,5,0,1.00,0.63,7.36
8,9,5,2.80,4,1,0.80,0.30,7.76
