Level,TotalBalls,Targets,Speed,Correct,Wrong,Accuracy,TAR_Median,ResponseTime(s)
1,4,1,1.00,1,0,1.00,0.79,4.39
2,6,2,1.50,2,0,1.00,0.78,6.16
3,6,2,2.00,2,0,1.00,0.73,5.59
4,8,3,2.00,3,0,1.00,0.69,6.44
5,8,3,2.50,3,0,1.00,0.54,5.94
6,10,3,2.50,3,0,1.00,0.64,6.23
7,10,4,3.00,3,1,0.75,0.71,6.42
8,12,5,3.50,3,2,0.60,0.45,13.51
