Level,TotalBalls,Targets,Speed,Correct,Wrong,Accuracy,TAR_Median,ResponseTime(s)
1,4,1,1.00,1,0,1.00,0.93,7.65
2,6,2,1.50,2,0,1.00,0.42,6.82
3,6,2,2.00,2,0,1.00,1.56,6.87
4,8,3,2.00,3,0,1.00,0.48,10.73
5,8,3,2.50,3,0,1.00,0.87,7.93
6,10,3,2.50,3,0,1.00,0.72,9.10
7,10,4,3.00,4,0,1.00,0.87,8.27
8,12,5,3.50,4,1,0.80,0.88,9.85
