Level,TotalBalls,Targets,Speed,Correct,Wrong,Accuracy,TAR_Median,ResponseTime(s)
1,6,2,2.50,1,1,0.50,0.74,6.07
2,6,2,2.20,2,0,1.00,0.71,6.23
3,7,3,2.20,3,0,1.00,0.70,6.47
4,8,4,2.20,4,0,1.00,0.84,6.85
5,8,4,2.50,4,0,1.00,0.88,6.70
6,8,4,2.80,4,0,1.00,0.89,7.24
7,8,4,3.10,4,0,1.00,0.66,7.71
8,9,5,2.60,5,0,1.00,0.80,8.87
