lsl_time,tar,theta,alpha,artifact,unity_event_tag
11045.417832500007,0.8792,343.18,390.32,0,
11045.713076200007,1.3803,440.60,319.22,0,
11046.016952800008,1.4868,627.58,422.11,0,
11046.304663200008,1.0403,597.23,574.08,0,
11046.624669900008,0.7941,425.31,535.58,0,
11046.944933900008,0.7115,273.24,384.02,0,
11047.224035700006,0.5929,213.37,359.89,0,
11047.555911500007,0.4611,276.17,598.98,0,
11047.827128900008,0.5793,546.28,943.06,0,
11048.149856900007,-1.0000,0.00,0.00,1,
11048.472662400007,-1.0000,0.00,0.00,1,
11048.753802800007,-1.0000,0.00,0.00,1,
11049.081904900007,-1.0000,0.00,0.00,1,
11049.358576500008,-1.0000,0.00,0.00,1,
11049.689821800008,-1.0000,0.00,0.00,1,
11049.974930300008,-1.0000,0.00,0.00,1,
11050.297834600007,-1.0000,0.00,0.00,1,
11050.582300600006,-1.0000,0.00,0.00,1,
11050.895330700007,-1.0000,0.00,0.00,1,
11051.213968600006,-1.0000,0.00,0.00,1,
11051.504349100007,2.2436,1354.39,603.68,0,
11051.813558800008,2.4071,1668.83,693.31,0,
11052.100677200007,2.5188,2208.08,876.63,0,
11052.422675300008,-1.0000,0.00,0.00,1,
11052.699164800008,-1.0000,0.00,0.00,1,
11053.019850500008,-1.0000,0.00,0.00,1,
11053.340123200007,-1.0000,0.00,0.00,1,
11053.619094000007,-1.0000,0.00,0.00,1,
11053.947572000006,-1.0000,0.00,0.00,1,
11054.217434700007,-1.0000,0.00,0.00,1,
11054.544154100007,-1.0000,0.00,0.00,1,
11054.860910100007,-1.0000,0.00,0.00,1,
11055.158493900008,-1.0000,0.00,0.00,1,
11055.441820300008,-1.0000,0.00,0.00,1,
11055.765328100008,-1.0000,0.00,0.00,1,
11056.042749100006,-1.0000,0.00,0.00,1,
11056.366218700008,-1.0000,0.00,0.00,1,
11056.642770400007,-1.0000,0.00,0.00,1,
11056.964839000007,-1.0000,0.00,0.00,1,
11057.287143400008,-1.0000,0.00,0.00,1,
11057.573117200007,-1.0000,0.00,0.00,1,
11057.898169000007,-1.0000,0.00,0.00,1,
11058.206202400008,-1.0000,0.00,0.00,1,
11058.496777100007,-1.0000,0.00,0.00,1,
