Level,TotalBalls,Targets,Speed,Correct,Wrong,Accuracy,TAR_Median,ResponseTime(s)
1,6,2,2.50,2,0,1.00,0.74,6.47
2,7,3,2.50,3,0,1.00,0.59,6.36
3,8,4,2.50,4,0,1.00,0.81,8.11
4,8,4,2.80,3,1,0.75,0.84,7.30
5,8,4,2.90,4,0,1.00,0.67,6.50
6,8,4,3.20,4,0,1.00,0.56,6.38
7,9,5,2.70,4,1,0.80,0.53,9.32
8,9,5,2.80,5,0,1.00,0.71,7.05
