lsl_time,tar,theta,alpha,artifact,unity_event_tag
16080.536539700008,1.1608,143.41,123.55,0,
16080.834431000007,0.8466,82.92,97.95,0,
16081.169965000006,0.6658,66.90,100.47,0,
16081.441756100006,0.4881,43.99,90.13,0,
16081.760303400008,0.6570,45.10,68.65,0,
16082.090484500008,0.7317,54.83,74.93,0,
16082.370967000008,0.7821,68.04,86.99,0,
16082.703630000007,1.1099,91.32,82.28,0,
16083.009078900008,1.4458,113.12,78.24,0,
16083.290226300007,1.5888,120.21,75.66,0,
16083.614478000007,1.2428,105.18,84.63,0,
16083.898792800008,0.8552,96.32,112.64,0,
16084.203356200007,1.1439,142.46,124.54,0,
16084.540675200007,2.2161,209.81,94.68,0,
16084.806158900008,2.7773,237.45,85.49,0,
16085.121278500008,2.0828,252.73,121.35,0,
16085.442250200007,1.7767,271.84,153.00,0,
16085.745267900007,1.7826,238.98,134.06,0,
16086.065838500008,1.2206,211.99,173.67,0,
16086.370045400008,1.0425,264.49,253.71,0,
16086.648858000008,1.0614,283.06,266.68,0,
16086.973431600007,0.8696,187.84,216.02,0,
16087.295381900007,0.3869,81.63,210.97,0,
16087.557407700007,0.2412,50.96,211.32,0,
16087.911496600007,0.3637,56.67,155.81,0,
16088.212351300008,0.8540,90.25,105.68,0,
16088.512331900007,1.0038,115.53,115.10,0,
16088.819729600007,0.8323,111.73,134.24,0,
16089.117319300007,0.6388,96.51,151.09,0,
16089.436229300007,0.4225,70.22,166.19,0,
16089.831298400008,0.2506,44.20,176.40,0,
16090.146528700006,0.2243,40.39,180.09,0,
16090.456912500007,0.2898,58.68,202.48,0,
16090.741506300008,0.3945,88.85,225.22,0,
16091.049235600007,0.6443,127.00,197.11,0,
16091.367855000008,1.3157,209.68,159.37,0,
16091.668974900007,1.8851,290.28,153.99,0,
16091.979008800008,1.2060,220.97,183.22,0,
16092.283122300007,0.6060,124.39,205.27,0,
16092.585999200008,0.5225,106.59,204.02,0,
16092.888584700007,0.5627,111.52,198.20,0,
16093.194855000007,0.6861,116.24,169.42,0,
16093.519919500008,1.2509,173.05,138.34,0,
16093.804051200008,1.8397,238.59,129.69,0,
16094.078478600008,1.9498,237.21,121.66,0,
16094.415203600007,1.5815,177.28,112.10,0,
16094.719466500008,1.7239,178.10,103.31,0,
16095.051804400007,1.7464,234.19,134.10,0,
16095.352246700008,1.2943,244.59,188.98,0,
16095.643476200008,0.9224,180.58,195.77,0,
16095.976924700008,-1.0000,0.00,0.00,1,
16096.271897400007,-1.0000,0.00,0.00,1,
16096.555928900007,3.7703,1174.92,311.62,0,
16096.882374600007,4.1898,2062.72,492.32,0,
16097.183194300007,2.5651,2043.77,796.75,0,
16097.486428000007,1.7800,1660.29,932.73,0,
16097.785868900008,1.8543,1315.71,709.55,0,
16098.111616300008,2.4619,886.95,360.27,0,
16098.519680700007,2.3160,362.94,156.71,0,
16098.920344600007,1.8592,171.03,91.99,0,
16099.212898100008,2.3836,253.91,106.52,0,
16099.540011300007,2.6060,414.34,158.99,0,
16099.924177100007,2.1329,314.09,147.26,0,
16100.225253800007,1.3441,146.71,109.16,0,
16100.567666200008,1.1981,145.30,121.27,0,
16100.868390800008,1.6536,255.40,154.45,0,
16101.146588000007,1.9752,278.49,140.99,0,
16101.472496300008,1.8319,236.16,128.91,0,
16101.792200500007,1.4565,193.44,132.82,0,
16102.070847800007,1.3724,167.16,121.80,0,
16102.380360500007,1.2967,144.39,111.34,0,
16102.703060700007,0.8267,106.95,129.37,0,
16103.002951400007,0.4337,66.88,154.20,0,
16103.285623700007,0.2078,31.78,152.97,0,
16103.620717400006,0.1896,27.73,146.30,0,
16103.910813700008,0.3645,49.05,134.57,0,
16104.237458700007,0.7212,80.31,111.36,0,
16104.532638100007,0.8584,95.42,111.17,0,
16104.820457200007,0.7266,85.98,118.33,0,
16105.135037100008,0.5044,62.84,124.58,0,
16105.464972800008,0.3146,36.68,116.56,0,
16105.838206100007,0.2542,31.88,125.42,0,
16106.176776800008,0.3165,61.81,195.32,0,
16106.485020200007,0.4601,100.70,218.86,0,
16106.787620500007,0.6006,118.69,197.64,0,
16107.084716900008,0.7693,158.07,205.47,0,
16107.405144400007,0.8747,228.42,261.13,0,
16107.687767100007,0.8888,233.38,262.58,0,
16108.014461500008,1.3354,230.80,172.84,0,
16108.416292600008,2.2849,279.06,122.13,0,
16108.714488400008,1.3244,214.37,161.86,0,
16109.016973000007,0.8057,220.96,274.23,0,
16109.321500600006,1.3827,658.93,476.57,0,
16109.646625700007,2.0306,1230.79,606.12,0,
16110.052051100007,2.0506,753.59,367.49,0,
16110.343925600007,1.2056,188.94,156.72,0,
16110.642634000007,0.6432,75.80,117.85,0,
16110.971798300006,0.8175,99.59,121.83,0,
16111.279525300008,0.7260,94.71,130.46,0,
