Level,TotalBalls,Targets,Speed,Correct,Wrong,Accuracy,TAR_Median,ResponseTime(s)
1,6,2,2.50,2,0,1.00,0.72,5.64
2,7,3,2.50,3,0,1.00,0.62,6.51
3,8,4,2.50,3,1,0.75,0.52,7.16
4,8,4,2.50,4,0,1.00,0.63,6.70
5,8,4,2.80,4,0,1.00,0.64,6.35
6,8,4,3.10,4,0,1.00,0.47,6.06
7,10,5,3.40,5,0,1.00,0.55,6.56
8,12,5,3.70,4,1,0.80,0.33,7.67
