Level,TotalBalls,Targets,Speed,Correct,Wrong,Accuracy,TAR_Median,ResponseTime(s)
1,4,1,1.00,1,0,1.00,0.96,5.80
2,6,2,1.50,2,0,1.00,1.00,6.19
3,6,2,2.00,2,0,1.00,0.92,7.99
4,8,3,2.00,3,0,1.00,0.66,6.18
5,8,3,2.50,3,0,1.00,0.73,7.42
6,10,3,2.50,2,1,0.67,1.10,7.30
7,10,4,3.00,4,0,1.00,0.70,6.36
8,12,5,3.50,3,2,0.60,0.82,11.55
