Level,TotalBalls,Targets,Speed,Correct,Wrong,Accuracy,TAR_Median,ResponseTime(s)
1,6,2,2.50,2,0,1.00,0.98,7.68
2,7,3,2.50,3,0,1.00,0.88,7.55
3,8,4,2.50,4,0,1.00,0.95,7.90
4,8,4,2.80,4,0,1.00,0.88,9.02
5,8,4,3.10,4,0,1.00,0.72,8.94
6,9,5,2.60,5,0,1.00,0.64,9.26
7,9,5,2.70,4,1,0.80,0.79,8.51
8,9,5,2.80,5,0,1.00,1.56,9.25
