Level,TotalBalls,Targets,Speed,Correct,Wrong,Accuracy,TAR_Median,ResponseTime(s)
1,4,1,1.00,1,0,1.00,0.51,5.33
2,6,2,1.50,2,0,1.00,0.69,5.92
3,6,2,2.00,2,0,1.00,0.52,5.72
4,8,3,2.00,3,0,1.00,0.74,6.58
5,8,3,2.50,3,0,1.00,0.80,7.17
6,10,3,2.50,3,0,1.00,0.67,6.35
7,10,4,3.00,4,0,1.00,1.01,7.10
8,12,5,3.50,3,2,0.60,0.75,8.11
