Level,TotalBalls,Targets,Speed,Correct,Wrong,Accuracy,TAR_Median,ResponseTime(s)
1,6,2,2.50,2,0,1.00,0.83,5.10
2,8,3,2.80,3,0,1.00,0.54,5.76
3,10,4,3.10,3,1,0.75,0.62,7.67
4,10,4,3.10,3,1,0.75,0.66,9.70
5,10,4,3.10,2,2,0.50,0.59,8.65
6,8,3,2.60,3,0,1.00,0.64,6.31
7,10,4,2.90,3,1,0.75,0.58,7.44
8,10,4,2.90,3,1,0.75,0.72,6.88
