lsl_time,tar,theta,alpha,artifact,unity_event_tag
17074.809415500007,0.9610,331.26,344.72,0,
17075.075854100007,0.4320,225.78,522.63,0,
17075.40183750001,0.5323,286.13,537.52,0,
17075.678817400007,1.4979,489.19,326.59,0,
17076.006875000006,3.9945,539.32,135.02,0,
17076.320840200005,3.6532,372.40,101.94,0,
17076.60455060001,2.5554,349.84,136.90,0,
17076.929444700007,2.0058,469.86,234.25,0,
17077.253385100008,1.4292,454.56,318.06,0,
17077.576543500007,0.7453,309.26,414.95,0,
17077.885709600007,0.4295,330.77,770.17,0,
17078.21423720001,0.5503,697.50,1267.56,0,
17078.534737600006,0.8938,1121.91,1255.23,0,
17078.849978700007,1.3562,1050.78,774.77,0,
17079.176679800006,1.9187,834.70,435.02,0,
17079.49001240001,2.5158,833.15,331.16,0,
17079.787879800006,2.8085,757.51,269.72,0,
17080.13027140001,2.4696,568.05,230.01,0,
17080.473968700007,1.1826,333.32,281.84,0,
17080.748856500006,0.5683,207.72,365.51,0,
17081.109898400005,0.6239,219.13,351.24,0,
17081.512933200007,0.9269,259.25,279.69,0,
17081.829596300006,0.5906,235.71,399.11,0,
17082.196107300006,0.4046,254.46,628.91,0,
17082.522598300005,0.3880,262.23,675.91,0,
17082.839892100008,0.4673,263.70,564.30,0,
17083.152134500007,0.8863,415.17,468.45,0,
17083.486852200007,1.7407,681.18,391.32,0,
17083.796455300006,-1.0000,0.00,0.00,1,
17084.117709200007,-1.0000,0.00,0.00,1,
17084.395829300007,-1.0000,0.00,0.00,1,
17084.71671060001,-1.0000,0.00,0.00,1,
17085.041799600007,-1.0000,0.00,0.00,1,
17085.382843100007,-1.0000,0.00,0.00,1,
17085.700620000007,-1.0000,0.00,0.00,1,
17086.012621500005,-1.0000,0.00,0.00,1,
17086.346306900006,-1.0000,0.00,0.00,1,
17086.665824600008,-1.0000,0.00,0.00,1,
17086.950454100006,1.2976,540.94,416.86,0,
17087.270361000006,0.4605,282.09,612.60,0,
17087.62160900001,0.3838,197.53,514.65,0,
17087.91117030001,0.7559,285.04,377.08,0,
17088.224588300007,0.9479,363.98,383.99,0,
17088.580394200006,0.9670,326.21,337.34,0,
17088.916812400006,1.2754,311.39,244.15,0,
17089.23159410001,1.8721,444.17,237.26,0,
17089.518473500008,2.4302,557.88,229.56,0,
17089.83149350001,3.1070,531.24,170.98,0,
17090.145678400007,2.6128,399.53,152.91,0,
17090.503889900006,0.8073,194.06,240.39,0,
17090.798869300008,0.4070,106.34,261.26,0,
17091.131106400007,0.4457,116.54,261.49,0,
17091.452594600007,0.6102,220.23,360.88,0,
17091.777059000007,0.6572,279.64,425.49,0,
17092.096001100006,0.8640,272.87,315.81,0,
17092.419080100008,2.3561,352.30,149.53,0,
17092.746234600007,5.3504,471.05,88.04,0,
17093.056864500006,3.9125,559.39,142.98,0,
17093.377848900007,1.8933,598.93,316.34,0,
17093.69893080001,1.3136,685.72,522.01,0,
17094.016746900008,1.3803,811.15,587.67,0,
17094.33773550001,1.3497,665.10,492.79,0,
17094.66913420001,1.0503,430.30,409.67,0,
17094.980929100006,1.2703,407.24,320.58,0,
17095.30171780001,2.1189,441.70,208.46,0,
17095.62354730001,2.5251,377.74,149.59,0,
17095.94332800001,1.3428,220.38,164.12,0,
17096.257462300007,0.5013,147.19,293.60,0,
17096.589991700006,0.6090,292.87,480.94,0,
17096.881877600008,0.8195,422.40,515.43,0,
17097.24467690001,-1.0000,0.00,0.00,1,
17097.575542100007,-1.0000,0.00,0.00,1,
17097.893614400007,-1.0000,0.00,0.00,1,Baseline_EO_Start
17098.20514850001,-1.0000,0.00,0.00,1,Baseline_EO_Start
17098.537532000006,-1.0000,0.00,0.00,1,Baseline_EO_Start
17098.85229370001,-1.0000,0.00,0.00,1,Baseline_EO_Start
17099.173006800007,-1.0000,0.00,0.00,1,Baseline_EO_Start
17099.497225500007,-1.0000,0.00,0.00,1,Baseline_EO_Start
17099.80803020001,-1.0000,0.00,0.00,1,Baseline_EO_Start
17100.133087500006,-1.0000,0.00,0.00,1,Baseline_EO_Start
17100.455789900006,-1.0000,0.00,0.00,1,Baseline_EO_Start
17100.773182400007,-1.0000,0.00,0.00,1,Baseline_EO_Start
17101.056147500007,-1.0000,0.00,0.00,1,Baseline_EO_Start
17101.374512000006,-1.0000,0.00,0.00,1,Baseline_EO_Start
17101.69883390001,-1.0000,0.00,0.00,1,Baseline_EO_Start
17102.020819600006,0.6361,544.79,856.43,0,Baseline_EO_Start
17102.324859500008,0.7909,367.27,464.35,0,Baseline_EO_Start
17102.682164700007,1.7073,686.44,402.05,0,Baseline_EO_Start
17102.99636340001,5.0749,2208.41,435.16,0,Baseline_EO_Start
17103.323696800006,6.6887,3131.06,468.11,0,Baseline_EO_Start
17103.636958600007,2.9173,1835.75,629.27,0,Baseline_EO_Start
17103.956564000007,-1.0000,0.00,0.00,1,Baseline_EO_Start
17104.244924900006,-1.0000,0.00,0.00,1,Baseline_EO_Start
17104.578513800006,-1.0000,0.00,0.00,1,Baseline_EO_Start
17104.91542150001,-1.0000,0.00,0.00,1,Baseline_EO_Start
17105.196915300006,-1.0000,0.00,0.00,1,Baseline_EO_Start
17105.52256330001,-1.0000,0.00,0.00,1,Baseline_EO_Start
17105.847170600005,-1.0000,0.00,0.00,1,Baseline_EO_Start
17106.165556600008,-1.0000,0.00,0.00,1,Baseline_EO_Start
17106.493503600006,-1.0000,0.00,0.00,1,Baseline_EO_Start
17106.804236400007,-1.0000,0.00,0.00,1,Baseline_EO_Start
17107.124974100007,-1.0000,0.00,0.00,1,Baseline_EO_Start
17107.451647500005,-1.0000,0.00,0.00,1,Baseline_EO_Start
17107.765337400007,-1.0000,0.00,0.00,1,Baseline_EO_Start
17108.107160500007,-1.0000,0.00,0.00,1,Baseline_EO_Start
17108.42297830001,-1.0000,0.00,0.00,1,Baseline_EO_Start
17108.718074200006,-1.0000,0.00,0.00,1,Baseline_EO_Start
17109.027093800007,-1.0000,0.00,0.00,1,Baseline_EO_Start
17109.385166000007,-1.0000,0.00,0.00,1,Baseline_EO_Start
17109.669417800007,-1.0000,0.00,0.00,1,Baseline_EO_Start
17110.033838200008,-1.0000,0.00,0.00,1,Baseline_EO_Start
17110.349672000008,-1.0000,0.00,0.00,1,Baseline_EO_Start
17110.67633520001,-1.0000,0.00,0.00,1,Baseline_EO_Start
17110.948669700007,0.8440,366.14,433.83,0,Baseline_EO_Start
17111.275930600008,0.7846,322.46,411.01,0,Baseline_EO_Start
17111.599211900008,0.7954,206.27,259.33,0,Baseline_EO_Start
17111.912513400006,0.9252,118.01,127.54,0,Baseline_EO_Start
17112.27042250001,1.1022,133.23,120.87,0,Baseline_EO_Start
17112.55400590001,0.9019,172.99,191.81,0,Baseline_EO_Start
17112.874587500006,0.5661,177.65,313.82,0,Baseline_EO_Start
17113.204522800006,0.5081,187.41,368.85,0,Baseline_EO_Start
17113.521584100006,0.5951,193.57,325.27,0,Baseline_EO_Start
17113.840484300006,0.5736,161.49,281.54,0,Baseline_EO_Start
17114.178201500006,0.4155,119.65,287.94,0,Baseline_EO_Start
17114.503698400007,0.5016,123.95,247.13,0,Baseline_EO_Start
17114.823094100007,0.8324,174.38,209.50,0,Baseline_EO_Start
17115.14099740001,1.1253,276.84,246.01,0,Baseline_EO_Start
17115.41897610001,1.3542,393.67,290.70,0,Baseline_EO_Start
17115.73592120001,1.3376,407.10,304.35,0,Baseline_EO_Start
17116.071612300006,1.2294,286.95,233.41,0,Baseline_EO_Start
17116.384240100007,1.2614,186.33,147.72,0,Baseline_EO_Start
17116.71248380001,1.0631,189.15,177.92,0,Baseline_EO_Start
17117.02850250001,1.2141,265.95,219.06,0,Baseline_EO_Start
17117.346013300008,1.5879,328.81,207.08,0,Baseline_EO_Start
17117.677738000006,1.8732,330.17,176.26,0,Baseline_EO_Start
17117.987002500005,2.0677,265.90,128.60,0,Baseline_EO_Start
17118.307387400007,1.7664,237.03,134.18,0,Baseline_EO_Start
17118.63391730001,1.1242,241.15,214.51,0,Baseline_EO_Start
17118.952013800008,1.1162,324.20,290.46,0,Baseline_EO_Start
17119.27298040001,3.7093,919.20,247.81,0,Baseline_EO_Start
17119.592200100007,-1.0000,0.00,0.00,1,Baseline_EO_Start
17119.90674420001,-1.0000,0.00,0.00,1,Baseline_EO_Start
17120.206716200006,-1.0000,0.00,0.00,1,Baseline_EO_Start
17120.566416700007,-1.0000,0.00,0.00,1,Baseline_EO_Start
17120.858784500007,-1.0000,0.00,0.00,1,Baseline_EO_Start
17121.170772100006,-1.0000,0.00,0.00,1,Baseline_EO_Start
17121.501975600007,-1.0000,0.00,0.00,1,Baseline_EO_Start
17121.812286200005,-1.0000,0.00,0.00,1,Baseline_EO_Start
