Level,TotalBalls,Targets,Speed,Correct,Wrong,Accuracy,TAR_Median,ResponseTime(s)
1,6,2,1.50,2,0,1.00,0.35,5.85
2,7,3,1.50,3,0,1.00,0.40,5.31
3,8,4,1.50,4,0,1.00,0.42,5.98
4,8,4,1.80,4,0,1.00,0.59,6.48
5,8,4,2.10,4,0,1.00,0.37,6.16
6,8,4,2.40,3,1,0.75,0.68,6.44
7,8,4,2.50,4,0,1.00,0.53,5.80
8,8,4,2.80,3,1,0.75,0.37,5.47
