Level,TotalBalls,Targets,Speed,Correct,Wrong,Accuracy,TAR_Median,ResponseTime(s)
1,4,1,1.00,1,0,1.00,0.97,8.76
2,6,2,1.50,2,0,1.00,1.29,15.67
3,6,2,2.00,2,0,1.00,0.70,7.90
4,8,3,2.00,3,0,1.00,1.52,8.11
5,8,3,2.50,3,0,1.00,1.48,7.41
6,10,3,2.50,3,0,1.00,1.09,8.24
7,10,4,3.00,4,0,1.00,0.85,8.38
8,12,5,3.50,3,2,0.60,0.79,9.18
