lsl_time,tar,theta,alpha,artifact,unity_event_tag
12232.217043400007,-1.0000,0.00,0.00,1,
12232.528262700007,-1.0000,0.00,0.00,1,
12232.839917700006,0.4318,12.84,29.73,0,
12233.124014700008,-1.0000,0.00,0.00,1,
12233.438388200007,0.5073,29.00,57.16,0,
12233.732595100008,1.1764,55.29,47.00,0,
12234.064503700007,2.5789,79.59,30.86,0,
12234.368918600007,3.0582,102.44,33.50,0,
12234.644901900007,2.6481,110.27,41.64,0,
12234.948197700007,1.7315,92.56,53.46,0,
12235.255752400008,0.8345,57.50,68.91,0,
12235.564742000008,0.4445,34.39,77.36,0,
12235.890267100007,0.3384,29.45,87.04,0,
12236.164162300007,0.5987,66.01,110.25,0,
12236.447324800007,1.0257,129.29,126.05,0,
12236.811298200008,1.2783,132.97,104.02,0,
12237.092636700007,0.8209,74.91,91.26,0,
12237.412115800007,0.3065,31.05,101.28,0,
12237.704167500007,0.3805,38.48,101.13,0,
12237.989821500007,0.8886,80.11,90.15,0,
12238.309180000007,1.6118,109.95,68.22,0,
12238.635503800007,2.1870,89.46,40.91,0,
12238.915825300008,2.1741,57.44,26.42,0,
12239.214355500008,1.6910,43.33,25.62,0,
12239.507265500008,0.9682,37.57,38.81,0,
12239.833236800006,0.4314,28.75,66.64,0,
12240.141275600008,0.3079,29.42,95.54,0,
12240.438433900008,0.5290,58.28,110.17,0,
12240.755089600007,0.8994,85.03,94.53,0,
12241.072724300007,1.1461,77.79,67.88,0,
12241.362089400007,1.4909,70.88,47.54,0,
12241.683239700007,2.4711,87.42,35.38,0,
12241.962198000007,2.5910,81.79,31.57,0,
12242.289275600007,1.3572,43.29,31.90,0,
12242.567829800008,0.8053,31.51,39.13,0,
12242.858331800007,1.0649,62.03,58.24,0,
12243.212356900007,1.1992,133.56,111.38,0,
12243.479164800006,1.3905,183.47,131.95,0,
12243.793776500008,1.7304,190.88,110.31,0,
12244.099597200007,1.7594,152.49,86.67,0,
12244.430538300006,1.9929,129.36,64.91,0,
12244.707204700007,3.4325,144.75,42.17,0,
12245.048929500008,5.2172,151.83,29.10,0,
12245.347368000008,3.3125,111.20,33.57,0,
12245.638840700007,1.6574,66.71,40.25,0,
12245.934846000007,1.0076,38.31,38.02,0,
12246.228168700007,1.3183,42.23,32.03,0,
12246.550191300008,2.3628,74.75,31.64,0,
12246.864035200007,2.3246,87.61,37.69,0,
12247.153396900007,1.6777,68.67,40.93,0,
12247.471778300007,1.5931,50.42,31.65,0,
12247.748880900008,2.4983,53.19,21.29,0,
12248.072656500008,3.6410,70.77,19.44,0,
12248.378050800007,3.2469,96.98,29.87,0,
12248.693671700008,1.8474,104.63,56.63,0,
12248.974134800008,1.4535,120.77,83.09,0,
12249.294826800007,-1.0000,0.00,0.00,1,
12249.615605200008,2.4979,144.40,57.81,0,
12249.919100800007,-1.0000,0.00,0.00,1,
