Level,TotalBalls,Targets,Speed,Correct,Wrong,Accuracy,TAR_Median,ResponseTime(s)
1,4,1,1.00,1,0,1.00,0.32,5.45
2,6,2,1.50,2,0,1.00,0.32,8.98
3,6,2,2.00,2,0,1.00,0.32,8.33
4,8,3,2.00,3,0,1.00,0.32,6.43
5,8,3,2.50,3,0,1.00,0.32,134.85
6,10,3,2.50,3,0,1.00,1.40,6.30
7,10,4,3.00,4,0,1.00,1.35,9.29
8,12,5,3.50,3,2,0.60,0.94,26.69
