Level,TotalBalls,Targets,Speed,Correct,Wrong,Accuracy,TAR_Median,ResponseTime(s)
1,4,1,1.00,1,0,1.00,0.54,5.00
2,6,2,1.50,2,0,1.00,0.73,5.20
3,6,2,2.00,2,0,1.00,0.63,5.71
4,8,3,2.00,3,0,1.00,0.74,6.72
5,8,3,2.50,3,0,1.00,0.53,5.88
6,10,3,2.50,3,0,1.00,0.63,6.28
7,10,4,3.00,4,0,1.00,0.62,8.96
8,12,5,3.50,1,4,0.20,0.66,11.05
