Level,TotalBalls,Targets,Speed,Correct,Wrong,Accuracy,TAR_Median,ResponseTime(s)
1,4,1,1.00,1,0,1.00,0.62,5.15
2,6,2,1.50,2,0,1.00,0.44,5.60
3,6,2,2.00,2,0,1.00,0.27,5.50
4,8,3,2.00,3,0,1.00,0.45,5.18
5,8,3,2.50,3,0,1.00,0.49,6.14
6,10,3,2.50,3,0,1.00,0.38,6.48
7,10,4,3.00,4,0,1.00,0.23,7.24
8,12,5,3.50,3,2,0.60,NaN,17.67
