Level,TotalBalls,Targets,Speed,Correct,Wrong,Accuracy,TAR_Median,ResponseTime(s)
1,6,2,2.50,2,0,1.00,0.66,6.17
2,8,3,2.80,3,0,1.00,0.59,6.86
3,10,4,3.10,4,0,1.00,0.68,7.53
4,12,5,3.40,4,1,0.80,0.68,8.87
5,12,5,3.40,2,3,0.40,0.51,9.31
6,10,4,2.90,1,3,0.25,0.58,9.56
7,8,3,2.40,3,0,1.00,0.63,8.04
8,10,4,2.70,4,0,1.00,0.60,8.59
