Level,TotalBalls,Targets,Speed,Correct,Wrong,Accuracy,TAR_Median,ResponseTime(s)
1,4,1,1.00,1,0,1.00,0.76,4.41
2,6,2,1.50,2,0,1.00,1.40,4.97
3,6,2,2.00,2,0,1.00,0.91,5.63
4,8,3,2.00,3,0,1.00,0.96,5.58
5,8,3,2.50,3,0,1.00,0.89,6.22
6,10,3,2.50,2,1,0.67,0.92,5.30
7,10,4,3.00,4,0,1.00,1.08,6.81
8,12,5,3.50,2,3,0.40,0.71,7.32
