Level,TotalBalls,Targets,Speed,Correct,Wrong,Accuracy,TAR_Median,ResponseTime(s)
1,6,2,2.50,2,0,1.00,0.49,6.43
2,8,3,2.80,3,0,1.00,0.38,6.03
3,10,4,3.10,3,1,0.75,1.03,9.27
4,10,4,3.20,3,1,0.75,0.54,8.07
5,10,4,3.20,4,0,1.00,0.51,7.31
6,12,5,3.50,2,3,0.40,1.39,8.61
7,11,4,3.30,3,1,0.75,0.34,7.76
8,11,4,3.30,4,0,1.00,0.57,8.54
