Level,TotalBalls,Targets,Speed,Correct,Wrong,Accuracy,TAR_Median,ResponseTime(s)
1,6,2,2.50,2,0,1.00,1.02,5.39
2,7,3,2.50,3,0,1.00,0.84,6.18
3,8,4,2.50,4,0,1.00,0.72,6.87
4,8,4,2.80,4,0,1.00,0.97,7.73
5,8,4,3.10,4,0,1.00,1.13,8.63
6,9,5,2.60,5,0,1.00,0.77,7.25
7,9,5,2.70,4,1,0.80,0.69,8.30
8,9,5,2.80,4,1,0.80,0.73,7.59
