lsl_time,tar,theta,alpha,artifact,unity_event_tag
18283.456200000008,0.2394,108.22,452.09,0,
18283.766015100005,0.6532,233.81,357.94,0,
18284.06070710001,1.1935,382.40,320.40,0,
18284.367376300008,1.1198,392.32,350.34,0,
18284.646635200006,0.6755,323.87,479.45,0,
18284.965821600006,0.3722,401.24,1078.04,0,
18285.284962700007,-1.0000,0.00,0.00,1,
18285.567958500007,-1.0000,0.00,0.00,1,
18285.894817300006,-1.0000,0.00,0.00,1,
18286.199706500007,-1.0000,0.00,0.00,1,
18286.496031700008,-1.0000,0.00,0.00,1,
18286.82632500001,-1.0000,0.00,0.00,1,
18287.10630220001,-1.0000,0.00,0.00,1,
18287.40424740001,0.6969,413.09,592.72,0,
18287.73203930001,0.2417,165.97,686.80,0,
18288.03223100001,0.2023,172.44,852.51,0,
18288.34291550001,0.4248,441.85,1040.03,0,
18288.62092620001,0.6611,655.52,991.49,0,
18288.949753900008,0.6753,527.77,781.49,0,
18289.234482100008,-1.0000,0.00,0.00,1,
18289.538739900006,-1.0000,0.00,0.00,1,
18289.848451800008,-1.0000,0.00,0.00,1,
18290.177384700008,-1.0000,0.00,0.00,1,
18290.43714470001,-1.0000,0.00,0.00,1,
18290.78331410001,-1.0000,0.00,0.00,1,
18291.094507700007,-1.0000,0.00,0.00,1,
18291.394467000006,-1.0000,0.00,0.00,1,
18291.690526000006,0.4010,200.25,499.38,0,
18291.999196200006,0.3128,158.56,506.92,0,
18292.316768400007,0.2382,108.49,455.42,0,
18292.617899900008,0.3186,126.32,396.46,0,
18292.914025000005,-1.0000,0.00,0.00,1,
18293.204886600008,-1.0000,0.00,0.00,1,
18293.53333330001,-1.0000,0.00,0.00,1,
18293.805313200006,-1.0000,0.00,0.00,1,
18294.14711810001,-1.0000,0.00,0.00,1,
18294.431189100007,1.6347,2190.41,1339.92,0,
18294.755261200007,0.6907,526.75,762.60,0,
18295.059436900006,0.2880,152.76,530.33,0,
18295.366012300008,0.1982,129.28,652.36,0,
18295.656220400007,0.2424,158.12,652.42,0,
18295.97006840001,0.3612,196.75,544.78,0,
18296.280497300006,0.4937,212.91,431.26,0,
18296.67778190001,0.4122,169.87,412.12,0,
18296.956173100007,0.5050,310.81,615.43,0,
18297.299760800008,0.8669,1088.16,1255.24,0,
18297.599318500008,0.8908,1839.09,2064.57,0,
18297.882708900008,0.7234,1584.59,2190.51,0,
18298.201206800008,0.6089,776.36,1274.93,0,
18298.515615300006,1.3555,765.20,564.49,0,
18298.834016400007,2.4169,908.64,375.95,0,
18299.129864200007,1.6681,661.52,396.58,0,
18299.395842200007,0.9469,415.99,439.33,0,
18299.728185800006,0.8820,428.79,486.13,0,
18300.033772900006,0.8745,398.33,455.47,0,
18300.35688690001,0.5269,213.09,404.44,0,
18300.649830500006,0.3594,138.69,385.92,0,
18300.938436000008,0.4336,148.07,341.52,0,
18301.270802500007,0.4227,147.27,348.40,0,
18301.570992000008,0.3288,114.77,349.02,0,
18301.875539300006,0.3060,75.10,245.46,0,
18302.192219500008,0.2386,76.50,320.64,0,
18302.490323500006,0.2230,113.42,508.65,0,
18302.80120330001,0.2970,145.81,490.95,0,
18303.110751900007,0.3554,124.52,350.38,0,
18303.382356500006,0.2625,100.67,383.54,0,
18303.71453910001,0.1969,98.36,499.46,0,
18304.02497800001,0.2464,118.20,479.74,0,
18304.403707900008,0.3626,135.59,373.93,0,
18304.730555100006,0.3471,112.63,324.46,0,
18304.98222140001,0.3408,106.83,313.43,0,
18305.34045400001,0.7601,310.19,408.11,0,
18305.629742300007,1.4615,1363.33,932.80,0,
18305.955616000007,2.4516,3696.73,1507.88,0,
18306.232927600005,4.1982,6034.20,1437.34,0,
18306.542810700008,6.7276,6506.21,967.09,0,
18306.872386900006,5.9080,3924.36,664.25,0,
18307.166382600008,3.2318,1599.10,494.81,0,
18307.46937270001,1.4681,602.84,410.62,0,
18307.755149800007,1.0613,461.91,435.24,0,
18308.101136800007,0.7823,376.68,481.49,0,
18308.372664700008,0.5941,270.78,455.78,0,
18308.705642700006,0.4566,210.71,461.45,0,
18308.981122300007,0.3951,239.24,605.57,0,
18309.294133100007,0.3757,244.02,649.54,0,
18309.613671000006,0.3411,191.10,560.16,0,
18309.929182300006,0.2710,199.78,737.12,0,
18310.215698800006,0.3878,377.84,974.40,0,
18310.53343120001,0.5777,495.83,858.32,0,
18310.82391700001,0.5896,401.03,680.16,0,
18311.145693600007,0.4579,247.15,539.71,0,
