Level,TotalBalls,Targets,Speed,Correct,Wrong,Accuracy,TAR_Median,ResponseTime(s)
1,6,2,2.50,2,0,1.00,0.70,6.02
2,8,3,2.80,3,0,1.00,0.75,7.43
3,10,4,3.10,4,0,1.00,0.67,8.72
4,12,5,3.40,3,2,0.60,0.71,11.14
5,10,4,2.90,4,0,1.00,0.79,8.14
6,12,5,3.20,3,2,0.60,0.55,10.10
7,10,4,2.70,3,1,0.75,0.85,9.46
8,10,4,2.70,4,0,1.00,0.52,9.63
