Level,TotalBalls,Targets,Speed,Correct,Wrong,Accuracy,TAR_Median,ResponseTime(s)
1,4,1,1.00,1,0,1.00,0.92,5.35
2,6,2,1.50,2,0,1.00,1.08,5.56
3,6,2,2.00,2,0,1.00,0.81,5.55
4,8,3,2.00,3,0,1.00,0.99,6.30
5,8,3,2.50,3,0,1.00,0.93,6.48
6,10,3,2.50,3,0,1.00,0.63,6.97
7,10,4,3.00,3,1,0.75,1.45,8.75
8,12,5,3.50,4,1,0.80,0.82,11.65
