lsl_time,tar,theta,alpha,artifact,unity_event_tag
20871.374634600008,1.8744,718.83,383.50,0,
20871.66396570001,0.2379,162.94,684.89,0,
20871.993884100008,0.1202,98.49,819.59,0,
20872.313735500007,-1.0000,0.00,0.00,1,
20872.59188880001,-1.0000,0.00,0.00,1,
20872.905296900008,-1.0000,0.00,0.00,1,
20873.22424170001,-1.0000,0.00,0.00,1,
20873.536646800007,-1.0000,0.00,0.00,1,
20873.820552200006,-1.0000,0.00,0.00,1,
20874.097614100006,-1.0000,0.00,0.00,1,
20874.408390700006,-1.0000,0.00,0.00,1,
20874.735333000008,-1.0000,0.00,0.00,1,
20875.03378140001,2.4210,916.99,378.77,0,
20875.33112030001,1.2144,393.21,323.79,0,
20875.630626000006,0.5093,170.45,334.69,0,
20875.972981500006,0.1812,83.57,461.22,0,
20876.248979400007,0.1206,81.95,679.76,0,
20876.51763990001,0.1032,84.86,822.24,0,
20876.856449500006,0.1310,97.17,741.86,0,
20877.157586100006,0.3027,179.70,593.73,0,
20877.499132900008,0.3557,223.46,628.28,0,
20877.790799300008,0.1756,144.58,823.53,0,
20878.10237730001,0.0802,74.65,931.10,0,
20878.392716700007,0.0991,81.76,825.00,0,
20878.71077330001,0.2324,117.03,503.55,0,
20879.027346200008,0.3382,120.07,355.03,0,
20879.303138100007,0.2588,115.63,446.79,0,
20879.634716500008,0.2714,123.21,453.92,0,
20879.94414260001,0.3412,109.09,319.72,0,
20880.241005300006,0.3376,73.74,218.41,0,
20880.556208600006,0.2358,58.01,245.97,0,
20880.838822300007,0.2811,78.94,280.86,0,
20881.166688800007,0.4863,124.43,255.87,0,
20881.54661290001,0.3492,106.34,304.50,0,
20881.870086600007,0.1943,71.75,369.36,0,
20882.184984100008,0.2512,76.01,302.59,0,
20882.581458900007,0.2185,82.42,377.12,0,
20882.88132110001,0.0860,56.28,654.13,0,
20883.202249100006,0.0443,35.60,803.68,0,
20883.513744400007,0.0866,68.40,790.00,0,
20883.80702300001,0.1776,138.90,781.95,0,
20884.10340500001,0.2461,170.88,694.28,0,
20884.415992500006,0.2385,130.50,547.15,0,
20884.706794300007,0.1925,85.15,442.41,0,
20885.120179200007,0.2447,70.45,287.83,0,
20885.423925400006,0.3979,80.00,201.04,0,
20885.723637200008,0.4069,108.30,266.19,0,
20886.049170100006,0.2952,126.01,426.85,0,
20886.338094700008,0.1907,99.19,520.12,0,
20886.667079600007,0.1369,59.32,433.20,0,
20886.964748600007,0.1298,58.72,452.46,0,
20887.25807310001,0.1620,89.11,550.23,0,
20887.587633900006,0.3209,149.72,466.49,0,
20887.850568600006,0.6902,191.91,278.04,0,
20888.183830200007,1.1593,199.04,171.69,0,
20888.501611800006,1.0949,182.59,166.76,0,
20888.807837500008,0.5739,150.96,263.02,0,
20889.214053400006,0.2840,115.20,405.69,0,
20889.49911680001,0.2871,116.29,405.02,0,
20889.79754930001,0.4178,127.14,304.27,0,
20890.116101900006,0.4123,121.21,294.00,0,
20890.42587940001,0.2389,102.90,430.79,0,
20890.710890200007,0.2101,103.71,493.52,0,
20891.031064900006,0.4516,166.04,367.70,0,
20891.333777100008,0.8885,222.27,250.16,0,
20891.639384100006,0.7679,186.83,243.29,0,
20891.937954800007,0.3486,103.92,298.12,0,
20892.273862700007,0.2861,117.27,409.82,0,
20892.567580000006,0.3539,193.88,547.91,0,
20892.884133000007,0.6527,368.92,565.19,0,
20893.16921400001,1.0224,414.97,405.88,0,
20893.501102700007,0.8742,268.62,307.26,0,
20893.79256190001,0.4006,142.62,356.01,0,
20894.11754070001,0.3996,191.87,480.10,0,
20894.398161800007,0.3758,187.69,499.42,0,
20894.702356600006,0.4911,151.21,307.87,0,
20895.009966400008,1.3051,165.05,126.46,0,
20895.32040440001,1.4992,159.80,106.59,0,
20895.627422200007,0.8104,132.00,162.88,0,
20895.93471240001,0.7645,131.79,172.39,0,
20896.24873500001,1.3152,158.62,120.60,0,
20896.567037800007,1.7813,183.21,102.85,0,
20896.86166800001,1.0756,185.18,172.16,0,
20897.159879100007,0.4282,131.05,306.04,0,
20897.458470600006,0.2694,78.51,291.43,0,
20897.760590800008,0.4473,100.22,224.07,0,
20898.070820400008,0.3686,138.22,375.00,0,
20898.395145000006,0.1529,101.04,660.82,0,
20898.69627640001,0.1426,86.97,609.93,0,
20899.00650840001,0.3873,125.08,322.94,0,
20899.287324000008,0.8002,136.55,170.64,0,
20899.61879920001,0.6697,173.03,258.38,0,
20899.922010800008,0.7321,286.80,391.76,0,
20900.228158200007,0.9325,365.35,391.80,0,
20900.518253500006,1.0775,308.24,286.07,0,
20900.822418600008,1.0142,278.76,274.87,0,
20901.114034600007,0.7769,340.02,437.66,0,
20901.451344200006,0.6199,443.48,715.41,0,
20901.742294400006,1.7841,1633.82,915.79,0,Baseline_EO_Start
20902.051379400007,3.7073,4190.47,1130.32,0,Baseline_EO_Start
20902.374511200007,4.5075,4238.36,940.29,0,Baseline_EO_Start
20902.685308900007,-1.0000,0.00,0.00,1,Baseline_EO_Start
20902.99436960001,-1.0000,0.00,0.00,1,Baseline_EO_Start
20903.26016000001,-1.0000,0.00,0.00,1,Baseline_EO_Start
20903.57634220001,-1.0000,0.00,0.00,1,Baseline_EO_Start
20903.88517140001,-1.0000,0.00,0.00,1,Baseline_EO_Start
20904.186205500006,-1.0000,0.00,0.00,1,Baseline_EO_Start
20904.501374900006,-1.0000,0.00,0.00,1,Baseline_EO_Start
20904.786271400008,-1.0000,0.00,0.00,1,Baseline_EO_Start
20905.092179600008,-1.0000,0.00,0.00,1,Baseline_EO_Start
20905.40806140001,-1.0000,0.00,0.00,1,Baseline_EO_Start
20905.725124400007,-1.0000,0.00,0.00,1,Baseline_EO_Start
20906.02873950001,-1.0000,0.00,0.00,1,Baseline_EO_Start
20906.325820700007,-1.0000,0.00,0.00,1,Baseline_EO_Start
20906.626488300008,-1.0000,0.00,0.00,1,Baseline_EO_Start
20906.928206900007,0.3823,159.52,417.30,0,Baseline_EO_Start
20907.224568600006,0.3171,169.68,535.06,0,Baseline_EO_Start
20907.527665300007,0.3375,182.82,541.70,0,Baseline_EO_Start
20907.854330500006,0.2794,175.27,627.39,0,Baseline_EO_Start
20908.171702300006,0.1819,142.56,783.80,0,Baseline_EO_Start
20908.46037720001,0.2602,171.98,660.94,0,Baseline_EO_Start
20908.774443100006,0.9108,389.66,427.83,0,Baseline_EO_Start
20909.092077300007,1.3868,615.85,444.07,0,Baseline_EO_Start
20909.374617700007,1.1610,537.72,463.15,0,Baseline_EO_Start
20909.69116900001,0.7175,300.95,419.46,0,Baseline_EO_Start
20909.969483400007,0.5216,192.03,368.12,0,Baseline_EO_Start
20910.294795600006,0.4696,125.95,268.22,0,Baseline_EO_Start
20910.621043100007,0.2511,77.15,307.23,0,Baseline_EO_Start
20910.920930700006,0.1291,61.03,472.60,0,Baseline_EO_Start
20911.196388500008,0.1448,74.47,514.41,0,Baseline_EO_Start
20911.523413400006,0.2926,117.63,402.06,0,Baseline_EO_Start
20911.838759300008,0.3943,135.48,343.63,0,Baseline_EO_Start
20912.12677170001,0.2732,132.38,484.48,0,Baseline_EO_Start
20912.437580600006,0.1552,117.47,756.78,0,Baseline_EO_Start
20912.72188480001,0.1239,92.79,748.96,0,Baseline_EO_Start
20913.041153500006,0.1910,79.12,414.28,0,Baseline_EO_Start
20913.36407210001,0.4763,88.69,186.21,0,Baseline_EO_Start
20913.650154700008,0.4685,99.98,213.38,0,Baseline_EO_Start
20913.958134900007,0.2700,100.56,372.52,0,Baseline_EO_Start
20914.292148800007,0.1873,96.63,515.95,0,Baseline_EO_Start
20914.56575430001,0.1745,92.66,530.88,0,Baseline_EO_Start
20914.883937900006,0.1922,82.68,430.07,0,Baseline_EO_Start
20915.205833000007,0.2538,79.12,311.73,0,Baseline_EO_Start
20915.489141700007,0.3396,106.46,313.47,0,Baseline_EO_Start
20915.80504550001,0.2840,121.88,429.23,0,Baseline_EO_Start
20916.124793100007,0.1772,88.97,501.98,0,Baseline_EO_Start
20916.42801930001,0.1228,61.48,500.55,0,Baseline_EO_Start
20916.709002600008,0.1318,64.43,488.81,0,Baseline_EO_Start
20917.03375370001,0.2196,92.44,420.89,0,Baseline_EO_Start
20917.321892600008,0.3480,104.12,299.16,0,Baseline_EO_Start
20917.64356490001,0.3961,82.68,208.73,0,Baseline_EO_Start
20917.923458100006,0.3456,73.59,212.95,0,Baseline_EO_Start
20918.239021100006,0.3874,112.78,291.12,0,Baseline_EO_Start
20918.555359200007,0.3410,145.81,427.64,0,Baseline_EO_Start
20918.84023000001,0.2457,121.18,493.14,0,Baseline_EO_Start
20919.180899000006,0.1688,72.47,429.25,0,Baseline_EO_Start
20919.486984000006,0.2087,70.24,336.61,0,Baseline_EO_Start
20919.795343600006,0.3622,103.75,286.43,0,Baseline_EO_Start
20920.079665700006,0.3186,123.62,387.98,0,Baseline_EO_Start
20920.393504400006,0.1914,105.66,552.02,0,Baseline_EO_Start
20920.67607950001,0.1937,90.84,468.88,0,Baseline_EO_Start
20920.992107000005,0.5231,128.25,245.17,0,Baseline_EO_Start
20921.32070250001,0.9759,148.58,152.26,0,Baseline_EO_Start
20921.62287310001,0.6547,117.27,179.11,0,Baseline_EO_Start
20921.910128500007,0.3733,123.35,330.47,0,Baseline_EO_Start
20922.21321230001,0.2644,158.23,598.50,0,Baseline_EO_Start
20922.55464520001,0.1908,141.76,742.81,0,Baseline_EO_Start
20922.844246000008,0.1874,109.09,582.13,0,Baseline_EO_Start
20923.15312080001,0.3573,97.95,274.15,0,Baseline_EO_Start
20923.458933700007,0.7941,133.54,168.17,0,Baseline_EO_Start
20923.740540500006,0.9464,202.68,214.15,0,Baseline_EO_Start
20924.077597900006,0.6733,207.98,308.88,0,Baseline_EO_Start
20924.383094900008,0.3345,139.63,417.40,0,Baseline_EO_Start
20924.69576030001,0.2028,109.75,541.09,0,Baseline_EO_Start
20924.989199100008,0.1492,101.71,681.59,0,Baseline_EO_Start
20925.309804200006,0.1772,100.25,565.89,0,Baseline_EO_Start
20925.581082900007,0.3652,126.46,346.30,0,Baseline_EO_Start
20925.916326100007,0.3191,121.04,379.36,0,Baseline_EO_Start
20926.223050300006,0.1828,89.98,492.29,0,Baseline_EO_Start
20926.51401460001,0.2660,100.80,378.88,0,Baseline_EO_Start
20926.802748200007,0.7050,166.03,235.50,0,Baseline_EO_Start
20927.098261900006,1.1568,299.22,258.65,0,Baseline_EO_Start
20927.446416600007,0.6381,298.61,467.99,0,Baseline_EO_Start
20927.724691100007,0.3066,191.23,623.65,0,Baseline_EO_Start
20928.054210600007,0.2253,140.81,625.07,0,Baseline_EO_Start
20928.32415870001,0.4140,214.07,517.08,0,Baseline_EO_Start
20928.666491600008,0.8984,391.90,436.23,0,Baseline_EO_Start
20928.976795900006,1.8459,695.71,376.88,0,Baseline_EO_Start
20929.266407900006,2.7358,877.90,320.90,0,Baseline_EO_Start
20929.58071560001,2.5740,711.01,276.23,0,Baseline_EO_Start
20929.855345300006,1.0694,372.38,348.23,0,Baseline_EO_Start
20930.188769900007,0.2552,136.05,533.01,0,Baseline_EO_Start
20930.500228400007,0.1562,73.93,473.19,0,Baseline_EO_Start
