Level,TotalBalls,Targets,Speed,Correct,Wrong,Accuracy,TAR_Median,ResponseTime(s)
1,6,2,2.50,2,0,1.00,1.73,7.75
2,7,3,2.50,3,0,1.00,1.81,8.60
3,8,4,2.50,4,0,1.00,1.00,8.92
4,8,4,2.80,4,0,1.00,1.74,9.69
5,8,4,3.10,4,0,1.00,1.68,8.27
6,9,5,2.60,5,0,1.00,1.69,8.73
7,9,5,2.70,5,0,1.00,1.45,9.09
8,9,5,2.80,5,0,1.00,1.43,8.52
