Level,TotalBalls,Targets,Speed,Correct,Wrong,Accuracy,TAR_Median,ResponseTime(s)
1,6,2,2.50,2,0,1.00,1.43,7.38
2,7,3,2.50,3,0,1.00,0.96,8.65
3,9,4,2.80,4,0,1.00,0.93,9.27
4,11,5,3.10,2,3,0.40,0.75,11.09
5,9,4,2.60,4,0,1.00,0.99,7.73
6,11,5,2.90,3,2,0.60,0.71,10.43
7,9,4,2.40,4,0,1.00,0.73,8.13
8,11,5,2.70,3,2,0.60,0.99,8.95
