lsl_time,tar,theta,alpha,artifact,unity_event_tag
11652.071647000008,0.5090,296.83,583.16,0,
11652.395454600008,0.5709,295.05,516.84,0,
11652.671263800008,-1.0000,0.00,0.00,1,
11653.002318400007,0.9376,179.67,191.63,0,
11653.274254100008,1.0885,155.75,143.10,0,
11653.605114700007,1.1553,145.37,125.83,0,
11653.869818300007,1.3737,163.40,118.94,0,
11654.201565600008,1.8135,200.08,110.33,0,
11654.514681400007,1.4297,173.80,121.56,0,
11654.817927600006,0.9208,132.41,143.79,0,
11655.145479700008,0.8341,129.60,155.38,0,
11655.468215000008,0.7336,113.92,155.29,0,
11655.744029900008,0.7622,102.61,134.62,0,
11656.103337400007,1.2635,146.84,116.22,0,
11656.420643100008,1.5026,182.72,121.60,0,
11656.700913700008,1.5076,148.07,98.22,0,
11657.023823700007,1.9141,112.54,58.79,0,
11657.349247900007,3.0055,138.21,45.98,0,
11657.665212700007,2.0031,124.26,62.03,0,
11657.981753300008,0.7786,70.25,90.22,0,
11658.317122600007,0.3572,34.78,97.35,0,
11658.587207200007,0.2690,24.71,91.86,0,
11658.913344700008,0.5000,42.95,85.91,0,
11659.234209500008,0.9914,76.96,77.63,0,
11659.546830700006,1.2655,89.60,70.80,0,
11659.876593800007,1.1434,74.72,65.35,0,
11660.216405000006,0.7110,55.12,77.53,0,
11660.532551500008,0.5596,43.10,77.02,0,
11660.847080200007,0.7010,38.98,55.61,0,
11661.179823100007,0.6758,54.29,80.34,0,
11661.595911500008,0.4882,61.52,126.01,0,
11661.910138900008,0.5150,57.78,112.21,0,
11662.272251300008,0.6176,55.10,89.21,0,
11662.594083900007,0.3962,37.01,93.41,0,
11662.950823400008,0.3737,35.76,95.70,0,
11663.282401500008,0.8658,76.64,88.52,0,
11663.593069800007,1.0052,104.30,103.76,0,
11664.001672800006,0.6159,74.40,120.81,0,
11664.416174600008,0.3649,37.66,103.22,0,
11664.805758900007,1.3047,138.95,106.50,0,
11665.136748200008,-1.0000,0.00,0.00,1,
11665.449910200008,-1.0000,0.00,0.00,1,
11665.768045100007,6.4683,3834.29,592.78,0,
11666.139471600007,7.2415,5164.29,713.16,0,
11666.393755100007,7.1545,3413.88,477.17,0,
11666.762076600007,-1.0000,0.00,0.00,1,
11667.085811400008,-1.0000,0.00,0.00,1,
11667.450478200008,0.8810,141.33,160.41,0,
11667.767546900008,1.1659,140.19,120.25,0,
11668.049063700008,1.8616,156.59,84.11,0,
11668.365036700006,1.6785,154.80,92.22,0,
11668.681046700007,1.1219,111.21,99.13,0,
11669.006897800007,1.1737,85.67,72.99,0,
11669.326606500008,1.3323,68.71,51.57,0,
11669.646935700008,0.8968,49.09,54.74,0,
11669.970350300007,0.8495,51.39,60.49,0,
11670.287137100007,1.0921,74.80,68.50,0,
11670.654593100007,1.4997,108.38,72.27,0,
11671.280857100008,1.5159,101.43,66.92,0,
11671.509108000007,0.8692,84.79,97.55,0,
11671.776938500007,0.6671,90.16,135.15,0,
11672.082687100008,0.9281,110.07,118.60,0,
11672.415233200007,1.9690,161.49,82.02,0,
11672.731137200008,3.4378,276.47,80.42,0,
11673.046965300007,3.7366,319.46,85.49,0,
11673.382421500008,2.9904,240.28,80.35,0,
11673.695667100008,2.2031,167.12,75.86,0,
11674.008899900007,2.3507,188.45,80.17,0,
11674.337456700006,2.2963,207.26,90.26,0,
11674.652115400007,2.1284,146.05,68.62,0,
11674.977673500007,2.4027,95.65,39.81,0,
11675.302957900007,1.4769,84.01,56.89,0,
11675.618188900007,1.2535,98.12,78.27,0,
11675.938858000007,1.8160,126.11,69.44,0,
11676.260906300007,2.3252,131.56,56.58,0,
11676.579193100008,2.1019,109.74,52.21,0,
11676.919633600008,1.5615,82.21,52.65,0,
11677.227945900007,0.9589,54.41,56.74,0,
11677.522721300007,0.5224,37.78,72.32,0,
11677.812582000008,0.3024,29.75,98.38,0,
11678.119191300008,0.1993,23.16,116.22,0,
11678.846194400006,0.6347,54.22,85.42,0,
11679.595422100007,1.7156,120.20,70.06,0,
11679.830380800007,1.5418,142.55,92.46,0,
11680.136975700007,0.5221,93.40,178.88,0,
11680.404906200007,0.1770,47.45,268.02,0,
11680.738208700008,0.1394,36.44,261.41,0,
11681.008111000006,0.2346,39.37,167.80,0,
11681.332515000007,0.4311,38.02,88.20,0,
11681.652448800007,0.6717,47.84,71.22,0,
11681.932895500007,1.1698,96.72,82.68,0,
11682.250884700008,1.7250,185.55,107.57,0,
11682.534457700007,1.6026,214.91,134.10,0,
11682.855796500007,1.2017,156.56,130.28,0,
11683.173234100008,0.9602,81.38,84.76,0,
11683.478917100007,1.4698,69.47,47.26,0,
11683.755258000007,3.7771,144.53,38.26,0,
11684.080753400007,4.5940,238.07,51.82,0,
11684.392792700008,2.9073,190.26,65.44,0,
11684.676770800008,1.5586,95.90,61.53,0,
11684.999838600008,1.3860,66.84,48.22,0,
11685.276000700007,2.0305,102.97,50.71,0,
11685.598429700007,2.3458,144.88,61.76,0,
11685.913325000007,1.8185,118.14,64.96,0,
11686.195025400008,0.7465,60.90,81.58,0,
11686.519577500007,0.2362,33.24,140.69,0,
11686.800950800007,0.2710,51.14,188.73,0,
11687.129570500007,0.4671,80.93,173.25,0,
11687.403447200008,0.6403,79.40,124.00,0,
11687.730008300006,0.6037,58.33,96.62,0,
11688.002944300008,0.7030,61.77,87.86,0,
11688.331335500006,1.0732,83.30,77.62,0,
11688.648648900007,1.0420,84.68,81.27,0,
11688.956387000007,1.0540,91.33,86.65,0,
11689.225070400007,1.4793,122.63,82.90,0,
11689.543954900008,2.2542,159.82,70.90,0,
11689.871438200007,2.3264,157.20,67.57,0,
11690.142922800007,-1.0000,0.00,0.00,1,
11690.474306200007,-1.0000,0.00,0.00,1,
11690.752377500008,-1.0000,0.00,0.00,1,
11691.073784200007,-1.0000,0.00,0.00,1,
11691.389352900007,-1.0000,0.00,0.00,1,
11691.673933500007,-1.0000,0.00,0.00,1,
11691.995806900008,-1.0000,0.00,0.00,1,
11692.281695100008,-1.0000,0.00,0.00,1,
11692.596250900007,-1.0000,0.00,0.00,1,
11692.907387600007,-1.0000,0.00,0.00,1,
11693.193765600006,-1.0000,0.00,0.00,1,
11693.510079700007,-1.0000,0.00,0.00,1,
11693.790527500007,-1.0000,0.00,0.00,1,
11694.111937500007,-1.0000,0.00,0.00,1,
11694.394471500007,-1.0000,0.00,0.00,1,
11694.692262100007,-1.0000,0.00,0.00,1,
11695.022968900008,-1.0000,0.00,0.00,1,
11695.291470600007,-1.0000,0.00,0.00,1,
11695.621498700008,-1.0000,0.00,0.00,1,
11695.941877000007,-1.0000,0.00,0.00,1,
11696.253201500007,-1.0000,0.00,0.00,1,
11696.537833900007,-1.0000,0.00,0.00,1,
11696.829203200008,-1.0000,0.00,0.00,1,
11697.141721000007,1.0437,132.32,126.78,0,
11697.426068200008,1.1931,202.13,169.42,0,
11697.743589700007,-1.0000,0.00,0.00,1,
11698.069520000006,-1.0000,0.00,0.00,1,
11698.342551000007,-1.0000,0.00,0.00,1,
11698.670500000007,-1.0000,0.00,0.00,1,
11698.988068100007,-1.0000,0.00,0.00,1,
11699.272190400008,-1.0000,0.00,0.00,1,
11699.586906300006,-1.0000,0.00,0.00,1,
11699.905107400007,-1.0000,0.00,0.00,1,
11700.185899300008,-1.0000,0.00,0.00,1,
11700.496583400007,-1.0000,0.00,0.00,1,
11700.811611100007,-1.0000,0.00,0.00,1,
11701.125677200007,3.4469,1151.25,333.99,0,
11701.420069200007,-1.0000,0.00,0.00,1,
11701.729097500007,3.0746,447.44,145.53,0,
11702.018029200008,-1.0000,0.00,0.00,1,
11702.335177900008,1.4371,157.98,109.93,0,
11702.646062500007,1.2330,120.03,97.34,0,
11702.939705400007,1.3533,91.40,67.53,0,
11703.220906600007,1.4345,73.73,51.39,0,
11703.532683300007,1.9271,88.37,45.86,0,
11703.847905100007,2.6668,112.00,42.00,0,
11704.135040100007,2.2848,91.06,39.85,0,
11704.464305500007,1.0785,49.05,45.48,0,
11704.740241200006,0.5918,34.95,59.07,0,
11705.048726700008,0.4284,39.63,92.49,0,
11705.383704600008,0.3946,53.81,136.36,0,
11705.652035600007,0.3999,63.25,158.19,0,
11705.985735700007,0.4084,59.28,145.16,0,
11706.301114800008,0.5383,52.31,97.18,0,
11706.605398300007,0.6569,40.95,62.33,0,
11706.884281700008,0.4779,31.96,66.88,0,
11707.208687800006,0.6456,57.29,88.73,0,
11707.481410000008,0.9636,96.81,100.47,0,
11707.805040900008,1.0306,94.03,91.24,0,
11708.126375800008,0.7369,52.82,71.68,0,
11708.413371000008,0.5989,39.12,65.32,0,
11708.725747600007,0.6239,43.35,69.48,0,
11709.046420100007,0.5894,44.65,75.77,0,
11709.323887900007,0.8510,55.87,65.65,0,
11709.639304700007,1.8403,85.05,46.22,0,
11709.926333200006,2.5079,104.17,41.54,0,
11710.242993600008,2.1888,107.01,48.89,0,
11710.529560200008,1.5477,104.19,67.32,0,
11710.843295800007,0.7917,90.81,114.71,0,
11711.171280700008,0.3876,57.95,149.51,0,Baseline_EO_Start
11711.446050500008,-1.0000,0.00,0.00,1,Baseline_EO_Start
11711.776269900007,-1.0000,0.00,0.00,1,Baseline_EO_Start
11712.092886900007,-1.0000,0.00,0.00,1,Baseline_EO_Start
11712.395439400007,-1.0000,0.00,0.00,1,Baseline_EO_Start
11712.676966700008,-1.0000,0.00,0.00,1,Baseline_EO_Start
11712.995697600007,-1.0000,0.00,0.00,1,Baseline_EO_Start
11713.280990000007,-1.0000,0.00,0.00,1,Baseline_EO_Start
11713.590065600007,0.4224,44.87,106.22,0,Baseline_EO_Start
11713.920301400007,0.6971,50.61,72.59,0,Baseline_EO_Start
11714.191277100008,1.0442,65.13,62.37,0,Baseline_EO_Start
11714.520645500008,1.3146,68.37,52.01,0,Baseline_EO_Start
11714.799082600008,0.9490,57.35,60.43,0,Baseline_EO_Start
11715.124924700007,0.4606,43.87,95.25,0,Baseline_EO_Start
11715.441420700008,0.3776,38.67,102.40,0,Baseline_EO_Start
11715.719060100007,0.5062,41.55,82.09,0,Baseline_EO_Start
11716.044517000008,0.7386,59.30,80.28,0,Baseline_EO_Start
11716.324180500007,0.8538,85.55,100.20,0,Baseline_EO_Start
11716.641881100008,0.9192,122.35,133.11,0,Baseline_EO_Start
11716.967540500007,0.7378,134.31,182.03,0,Baseline_EO_Start
11717.248920500007,0.6645,122.24,183.97,0,Baseline_EO_Start
11717.565281700006,0.8605,127.05,147.65,0,Baseline_EO_Start
11717.844289500008,0.8298,140.04,168.76,0,Baseline_EO_Start
11718.176260800008,0.5709,107.14,187.67,0,Baseline_EO_Start
11718.471252800007,0.5148,67.10,130.35,0,Baseline_EO_Start
11718.780745300008,0.5655,39.11,69.16,0,Baseline_EO_Start
11719.064365600007,0.5823,30.51,52.39,0,Baseline_EO_Start
11719.387630400008,0.8367,41.94,50.12,0,Baseline_EO_Start
11719.714715500008,0.9685,54.57,56.34,0,Baseline_EO_Start
11719.983912000007,0.7524,52.97,70.40,0,Baseline_EO_Start
11720.312592600007,0.5756,50.04,86.94,0,Baseline_EO_Start
11720.628509000007,0.5971,44.66,74.79,0,Baseline_EO_Start
11720.914236200008,0.6737,31.92,47.38,0,Baseline_EO_Start
11721.229902800007,0.9451,32.12,33.99,0,Baseline_EO_Start
11721.514552900007,1.4291,52.90,37.01,0,Baseline_EO_Start
11721.830274800008,1.4485,59.16,40.84,0,Baseline_EO_Start
11722.150415500008,0.9649,39.51,40.95,0,Baseline_EO_Start
11722.433477100007,0.9648,35.62,36.92,0,Baseline_EO_Start
11722.753477500008,1.1561,49.89,43.16,0,Baseline_EO_Start
11723.036943700008,1.0319,64.77,62.77,0,Baseline_EO_Start
11723.352975100008,1.0782,92.85,86.11,0,Baseline_EO_Start
11723.676430900006,1.1654,110.59,94.90,0,Baseline_EO_Start
11723.979458900007,1.2008,91.80,76.45,0,Baseline_EO_Start
11724.257124400006,1.1859,64.60,54.48,0,Baseline_EO_Start
11724.580816300007,1.1000,51.68,46.98,0,Baseline_EO_Start
11724.899444600007,1.2312,60.84,49.41,0,Baseline_EO_Start
11725.176253100008,1.3851,77.35,55.84,0,Baseline_EO_Start
11725.496872200007,1.3348,79.22,59.35,0,Baseline_EO_Start
11725.780079900007,1.0855,65.60,60.43,0,Baseline_EO_Start
11726.094392500007,0.7881,52.71,66.88,0,Baseline_EO_Start
11726.423000500008,0.5341,41.60,77.89,0,Baseline_EO_Start
11726.705040400007,0.4519,37.68,83.39,0,Baseline_EO_Start
11727.025249300008,0.6195,56.54,91.26,0,Baseline_EO_Start
11727.305169600008,0.8661,76.60,88.44,0,Baseline_EO_Start
11727.626203600008,1.1309,78.75,69.64,0,Baseline_EO_Start
11727.944260500008,1.1862,78.68,66.33,0,Baseline_EO_Start
11728.228455500008,1.0694,75.53,70.63,0,Baseline_EO_Start
11728.542627100007,0.9553,64.43,67.45,0,Baseline_EO_Start
11728.828709400008,1.3165,95.50,72.54,0,Baseline_EO_Start
