lsl_time,tar,theta,alpha,artifact,unity_event_tag
14130.159516700007,-1.0000,0.00,0.00,1,
14130.438643300007,-1.0000,0.00,0.00,1,
14130.753636100007,-1.0000,0.00,0.00,1,
14131.040978700008,-1.0000,0.00,0.00,1,
14131.356599600007,-1.0000,0.00,0.00,1,
14131.677391800007,-1.0000,0.00,0.00,1,
14131.959090900007,-1.0000,0.00,0.00,1,
14132.280748300007,-1.0000,0.00,0.00,1,
14132.564918600006,-1.0000,0.00,0.00,1,
14132.880709900008,-1.0000,0.00,0.00,1,
14133.159931000007,-1.0000,0.00,0.00,1,
14133.482141800007,5.4441,899.43,165.21,0,
14133.764859200008,3.8030,745.81,196.11,0,
14134.082725900007,4.5556,1011.00,221.93,0,
14134.404903400007,-1.0000,0.00,0.00,1,
14134.720110300008,-1.0000,0.00,0.00,1,
14134.995757300007,-1.0000,0.00,0.00,1,
14135.307298200007,-1.0000,0.00,0.00,1,
14135.621256900007,-1.0000,0.00,0.00,1,
14135.905562900007,-1.0000,0.00,0.00,1,
14136.224779200007,-1.0000,0.00,0.00,1,
14136.505417700007,-1.0000,0.00,0.00,1,
14136.829188200007,-1.0000,0.00,0.00,1,
14137.152239000006,-1.0000,0.00,0.00,1,
14137.427914700007,-1.0000,0.00,0.00,1,
14137.756413500007,-1.0000,0.00,0.00,1,
14138.035800000007,-1.0000,0.00,0.00,1,
14138.354088400007,-1.0000,0.00,0.00,1,
14138.669247800008,-1.0000,0.00,0.00,1,
14138.954626700008,-1.0000,0.00,0.00,1,
14139.272501900008,-1.0000,0.00,0.00,1,
14139.552842600007,-1.0000,0.00,0.00,1,
14139.877438500007,-1.0000,0.00,0.00,1,
14140.160588000008,12.0086,1937.89,161.38,0,
14140.475781100007,14.2389,2959.00,207.81,0,
14140.786000700007,9.9747,2125.31,213.07,0,
14141.101764300007,3.8895,783.00,201.31,0,
14141.381624500007,1.4849,303.94,204.69,0,
14141.696592300008,1.1759,218.38,185.72,0,
14142.020683900007,1.4669,202.88,138.30,0,
14142.305221300006,1.5229,157.28,103.28,0,
14142.621518100008,1.0549,92.61,87.79,0,
14142.903840800007,1.0104,90.49,89.56,0,
14143.218153000007,1.8237,142.01,77.87,0,
14143.549627200007,2.5794,148.64,57.63,0,
14143.822501300006,1.8407,127.63,69.34,0,
14144.149503500008,1.3994,145.18,103.75,0,
14144.462745000008,1.7986,200.94,111.72,0,
14144.745714900007,2.4259,255.63,105.38,0,
14145.065238900008,2.3529,261.20,111.01,0,
14145.347384700008,1.5384,177.65,115.48,0,
14145.671844900007,0.6397,72.67,113.60,0,
14145.979296000007,0.3438,39.13,113.80,0,
14146.263094300008,0.6222,74.76,120.16,0,
14146.563801700007,1.0434,143.78,137.80,0,
14146.891846400007,1.1261,208.65,185.28,0,
14147.211858200008,0.9954,239.65,240.76,0,
14147.491507200008,1.0100,222.80,220.59,0,
14147.813922400008,1.0984,182.06,165.75,0,
14148.100054300006,0.8902,142.47,160.04,0,
14148.409925100008,0.6983,108.77,155.77,0,
14148.693272300008,0.7251,111.57,153.85,0,
14149.007426700007,0.5988,104.66,174.78,0,
14149.339397800008,0.3276,66.32,202.48,0,Baseline_EO_Start
14149.612615400007,0.3707,66.03,178.10,0,Baseline_EO_Start
14149.938325000006,1.1896,126.23,106.11,0,Baseline_EO_Start
14150.256897300007,2.4803,197.48,79.62,0,Baseline_EO_Start
14150.543665000007,2.5108,243.12,96.83,0,Baseline_EO_Start
14150.855098400007,2.4344,244.24,100.33,0,Baseline_EO_Start
14151.173664300008,2.3119,186.13,80.51,0,Baseline_EO_Start
14151.458849700008,1.4309,126.18,88.18,0,Baseline_EO_Start
14151.776251600008,0.5985,85.39,142.67,0,Baseline_EO_Start
14152.060799800007,0.4231,73.46,173.65,0,Baseline_EO_Start
14152.398070400008,0.5459,80.24,146.99,0,Baseline_EO_Start
14152.686891000007,0.6771,91.08,134.52,0,Baseline_EO_Start
14153.006273200008,0.5101,103.15,202.21,0,Baseline_EO_Start
14153.283706800008,0.4970,134.90,271.43,0,Baseline_EO_Start
14153.599964300007,0.6994,161.02,230.23,0,Baseline_EO_Start
14153.923133900007,1.0918,129.42,118.54,0,Baseline_EO_Start
14154.207268000007,1.3433,107.61,80.10,0,Baseline_EO_Start
14154.519997400008,1.3160,118.50,90.05,0,Baseline_EO_Start
14154.803414400007,1.3715,112.93,82.34,0,Baseline_EO_Start
14155.128264300007,1.3918,87.91,63.16,0,Baseline_EO_Start
14155.411527700007,1.2890,72.93,56.58,0,Baseline_EO_Start
14155.728570000007,1.5646,73.06,46.70,0,Baseline_EO_Start
14156.055980700008,1.6984,73.69,43.39,0,Baseline_EO_Start
14156.363600800007,1.0995,60.22,54.78,0,Baseline_EO_Start
14156.650289800007,1.0826,67.59,62.43,0,Baseline_EO_Start
14156.927370000007,1.7793,118.84,66.79,0,Baseline_EO_Start
14157.255234700007,2.4195,183.07,75.66,0,Baseline_EO_Start
14157.575821300008,2.5659,173.62,67.66,0,Baseline_EO_Start
14157.885152800007,3.3373,160.83,48.19,0,Baseline_EO_Start
14158.195701500008,4.6353,187.93,40.54,0,Baseline_EO_Start
14158.482110400008,5.1703,189.81,36.71,0,Baseline_EO_Start
14158.791658300008,6.0888,198.17,32.55,0,Baseline_EO_Start
14159.076905300008,5.0520,237.50,47.01,0,Baseline_EO_Start
14159.397756800006,3.7947,376.48,99.21,0,Baseline_EO_Start
14159.712165100007,2.9370,455.10,154.96,0,Baseline_EO_Start
14159.998262700008,1.8428,305.84,165.97,0,Baseline_EO_Start
14160.320604700008,0.8830,124.34,140.82,0,Baseline_EO_Start
