Level,TotalBalls,Targets,Speed,Correct,Wrong,Accuracy,TAR_Median,ResponseTime(s)
1,4,1,1.00,1,0,1.00,0.78,4.37
2,6,2,1.50,2,0,1.00,0.58,5.29
3,6,2,2.00,2,0,1.00,0.81,5.14
4,8,3,2.00,3,0,1.00,0.58,5.58
5,8,3,2.50,3,0,1.00,0.58,5.66
6,10,3,2.50,3,0,1.00,0.59,5.76
7,10,4,3.00,2,2,0.50,0.60,6.28
8,12,5,3.50,1,4,0.20,0.51,10.32
