Level,TotalBalls,Targets,Speed,Correct,Wrong,Accuracy,TAR_Median,ResponseTime(s)
1,4,1,1.00,1,0,1.00,0.82,6.84
2,6,2,1.50,2,0,1.00,0.63,6.59
3,6,2,2.00,2,0,1.00,0.72,6.78
4,8,3,2.00,3,0,1.00,1.50,7.59
5,8,3,2.50,3,0,1.00,1.04,8.07
6,10,3,2.50,3,0,1.00,1.69,6.77
7,10,4,3.00,4,0,1.00,1.10,8.34
8,12,5,3.50,2,3,0.40,0.67,9.41
