Level,TotalBalls,Targets,Speed,Correct,Wrong,Accuracy,TAR_Median,ResponseTime(s)
1,6,2,2.50,2,0,1.00,1.11,6.25
2,7,3,2.50,3,0,1.00,0.93,6.66
3,8,4,2.50,4,0,1.00,1.11,8.05
4,8,4,2.80,3,1,0.75,0.98,6.86
5,8,4,2.90,4,0,1.00,0.76,6.53
6,8,4,3.20,4,0,1.00,1.27,6.31
7,9,5,2.70,5,0,1.00,0.71,12.39
8,9,5,2.80,5,0,1.00,0.89,7.63
