Level,TotalBalls,Targets,Speed,Correct,Wrong,Accuracy,TAR_Median,ResponseTime(s)
1,6,2,2.50,2,0,1.00,0.81,6.29
2,7,3,2.50,2,1,0.67,0.81,7.13
3,7,3,2.20,2,1,0.67,0.57,7.49
4,7,3,1.90,3,0,1.00,2.42,7.65
5,8,4,1.90,4,0,1.00,0.71,7.82
6,8,4,2.20,4,0,1.00,1.30,21.35
7,8,4,2.50,3,1,0.75,0.66,7.39
8,8,4,2.60,4,0,1.00,0.94,8.12
